name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Glue;BICEP;Bicep;2017-09-01;269149;70.0;[];BICEP | GLUE (Official Video);https://www.youtube.com/watch?v=A7ZxRs45tTg;True
Because You Move Me;Tinlicker, Helsloot;Because You Move Me;2017-07-31;196375;75.0;['progressive house', 'melodic house', 'house', 'melodic techno', 'chill house'];Tinlicker & Helsloot - Because You Move Me;https://www.youtube.com/watch?v=q-e8-kaWDvI;True
BLUEBERRY YUM YUM;BHZ, Monk, Dead Dawg, Big Pat;HALB:VIER DELUXE;2021-07-16;232844;0.0;['german hip hop'];BLUEBERRY YUM YUM;https://www.youtube.com/watch?v=VNJmhXQoB0Q;True
Crimewave;Crystal Castles, HEALTH;Crystal Castles;2008-03-16;258453;63.0;['alternative dance', 'indietronica', 'electroclash', 'new rave', 'industrial', 'noise rock', 'witch house'];;;
Overthinker;INZO;Overthinker;2018-07-23;268000;1.0;['future bass'];;;
Guardian;SpectraSoul;4 Points / Guardian;2009-11-23;357053;20.0;['jungle', 'liquid funk', 'drum and bass'];Guardian;https://www.youtube.com/watch?v=lCs9ZyWxWWo;True
Tink Ya Bad - Remix;G Dub, Lindo P;Back in Business / Tink Ya Bad (Remix);2017-09-18;265757;15.0;['bassline', 'jungle', 'drum and bass'];;;
Time Tripping;DJ Hazard;Time Tripping / Digital Bumble Bees;2013-06-24;317140;30.0;['bassline', 'jungle', 'drum and bass'];DJ Hazard - Time Tripping;https://www.youtube.com/watch?v=JXBnbHA59dY;True
Good Time;Crystal Castles;Crystal Castles;2008-03-16;175520;35.0;['alternative dance', 'indietronica', 'electroclash', 'new rave', 'witch house'];;;
1991;Crystal Castles;Crystal Castles;2008-03-16;113506;38.0;['alternative dance', 'indietronica', 'electroclash', 'new rave', 'witch house'];Crystal Castles - 1991;https://www.youtube.com/watch?v=hYf20ovQm5g;True
Vanished;Crystal Castles;Crystal Castles;2008-03-16;242960;67.0;['alternative dance', 'indietronica', 'electroclash', 'new rave', 'witch house'];Crystal Castles - Vanished;https://www.youtube.com/watch?v=6e6Hj7MwWaI;True
Stop It;FISHER;Oi Oi;2017-11-10;163790;6.0;['house', 'tech house', 'techno'];;;
Cola;CamelPhat, Elderbrook;Cola;2017-06-16;223869;68.0;['progressive house', 'tech house', 'melodic house', 'house', 'melodic techno'];CamelPhat & Elderbrook 'Cola' (Official Video);https://www.youtube.com/watch?v=LcNXG-6SqWA;True
